epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.93779,1.53752,3.8722,3.09432,1.66127,0.01971,0.39883,0.03164,0.01371,0.01739,0.35191,0.02875,0.01302,1.38433,3.45828,3.30336,1.68479,6e-05,6e-05,6e-05
2,4.80663,1.39257,3.34461,3.10044,1.50865,0.03435,0.69501,0.1349,0.07419,0.0329,0.66569,0.11078,0.06383,1.02986,2.55648,3.13065,1.28845,0.000139996,0.000139996,0.000139996
3,6.59974,1.20988,2.65575,2.54384,1.2528,0.04261,0.86217,0.32102,0.18857,0.04174,0.84457,0.31196,0.15239,1.1062,2.49537,2.82653,1.11455,0.000219976,0.000219976,0.000219976
4,8.42269,1.35627,2.72298,1.9195,1.3257,0.71864,0.29212,0.39466,0.22826,0.56713,0.23053,0.29166,0.12101,0.989,3.63003,2.4675,1.07164,0.000299927,0.000299927,0.000299927
5,10.222,1.24512,2.52031,1.48847,1.27834,0.76535,0.24927,0.39598,0.23183,0.67978,0.21789,0.33151,0.15866,1.09794,2.7843,2.42626,1.11651,0.000379835,0.000379835,0.000379835
6,12.0224,1.12214,2.36074,1.36362,1.21747,0.71744,0.28152,0.44117,0.27679,0.69502,0.27273,0.40156,0.20182,1.02562,2.98402,2.24153,1.05677,0.000459688,0.000459688,0.000459688
7,13.8879,1.16943,2.46184,1.36511,1.2677,0.73839,0.25513,0.45374,0.27695,0.53174,0.19355,0.31684,0.1283,1.12577,3.20244,2.25396,1.11326,0.000539473,0.000539473,0.000539473
8,15.7206,1.14041,2.32385,1.30059,1.24994,0.63618,0.27273,0.47914,0.30129,0.49319,0.21994,0.34806,0.15246,1.06393,3.28432,2.12765,1.09401,0.000619176,0.000619176,0.000619176
9,17.4778,1.11848,2.22421,1.2674,1.20778,0.63189,0.28739,0.49094,0.32027,0.53008,0.2434,0.40878,0.18428,1.0225,3.07342,2.13516,1.08202,0.000698785,0.000698785,0.000698785
10,19.2747,1.13261,2.34276,1.26336,1.21859,0.56307,0.29032,0.49641,0.30199,0.47808,0.25251,0.41453,0.20218,1.12447,2.8906,2.1351,1.12173,0.000778286,0.000778286,0.000778286
11,21.0722,1.11595,2.30738,1.25367,1.18636,0.51093,0.35539,0.49135,0.30804,0.46982,0.33724,0.44741,0.24086,1.15852,2.89952,1.98755,1.16671,0.000857668,0.000857668,0.000857668
12,22.9753,1.1725,2.37275,1.21488,1.2445,0.4737,0.44868,0.48983,0.30404,0.43429,0.42229,0.44304,0.22095,1.09593,2.84882,1.90881,1.1445,0.000936916,0.000936916,0.000936916
13,24.705,1.11948,2.25775,1.26449,1.23789,0.49461,0.48387,0.48676,0.2918,0.45419,0.45748,0.44702,0.21701,1.19455,2.87495,1.91657,1.19604,0.00101602,0.00101602,0.00101602
14,26.4448,1.15397,2.28792,1.25991,1.25297,0.69272,0.51906,0.6273,0.38492,0.64518,0.49058,0.5611,0.28042,1.20693,3.19554,1.86657,1.17043,0.00109496,0.00109496,0.00109496
15,28.2259,1.18842,2.38334,1.27828,1.26703,0.79368,0.5979,0.74469,0.43935,0.74697,0.56271,0.67068,0.33763,1.15238,2.86829,1.81585,1.15392,0.00117373,0.00117373,0.00117373
16,29.989,1.0484,2.04425,1.2139,1.16729,0.68214,0.57771,0.63178,0.37878,0.55592,0.50661,0.47019,0.19557,1.20823,3.82585,1.73472,1.19621,0.00125232,0.00125232,0.00125232
17,31.7559,1.22884,2.39347,1.28347,1.30011,0.54344,0.60038,0.55383,0.34027,0.43185,0.49853,0.40181,0.18778,1.18586,3.73332,1.75497,1.20796,0.00133071,0.00133071,0.00133071
18,33.5047,1.11123,2.15753,1.18243,1.21747,0.43125,0.48974,0.41602,0.24022,0.38479,0.44387,0.31507,0.14898,1.2628,4.02136,1.97789,1.29192,0.00140889,0.00140889,0.00140889
19,35.2478,0.99435,1.91409,1.04562,1.1423,0.25599,0.27445,0.16677,0.08251,0.18669,0.21701,0.12338,0.05238,1.44697,5.4449,2.51146,1.47564,0.00148685,0.00148685,0.00148685
20,36.9933,1.17587,2.31654,1.23863,1.25945,0.25471,0.36364,0.18186,0.10049,0.2346,0.32551,0.15667,0.07499,1.37392,4.42865,2.44599,1.42068,0.00156457,0.00156457,0.00156457
21,38.7241,1.13865,2.16294,1.18624,1.23189,0.51947,0.46334,0.42892,0.24132,0.52914,0.44575,0.39771,0.19062,1.38655,3.98807,2.06822,1.41252,0.00164204,0.00164204,0.00164204
22,40.5163,1.12048,2.131,1.13603,1.21635,0.56962,0.6129,0.57836,0.33496,0.53691,0.57771,0.51008,0.2497,1.333,3.82244,1.54025,1.35527,0.00171926,0.00171926,0.00171926
23,42.2579,1.17256,2.30863,1.21451,1.2756,0.5542,0.56012,0.53869,0.30751,0.49536,0.54252,0.46594,0.21519,1.3915,4.25307,1.6212,1.38079,0.0017962,0.0017962,0.0017962
24,44.004,1.11263,2.09447,1.16923,1.22438,0.4909,0.5825,0.49826,0.27649,0.45924,0.55787,0.43722,0.19114,1.32967,4.20041,1.69844,1.31659,0.00187285,0.00187285,0.00187285
25,45.7358,1.11549,2.21346,1.15044,1.21914,0.51008,0.61675,0.53639,0.304,0.47608,0.55132,0.44869,0.17205,1.36566,4.85399,1.59872,1.37977,0.00194921,0.00194921,0.00194921
26,47.5199,1.21194,2.37579,1.19717,1.27055,0.59851,0.58944,0.59123,0.33639,0.49427,0.48387,0.39957,0.13565,1.39771,5.82811,1.53158,1.41925,0.00196627,0.00196627,0.00196627
27,49.3109,1.18279,2.25419,1.19231,1.22832,0.48724,0.56598,0.46994,0.2699,0.44173,0.51026,0.39414,0.17307,1.37014,4.16277,1.7075,1.3584,0.00196353,0.00196353,0.00196353
28,51.1162,1.19205,2.25023,1.15862,1.22328,0.49641,0.67155,0.49775,0.2864,0.47207,0.64223,0.45058,0.201,1.33633,4.0316,1.55792,1.36187,0.00196069,0.00196069,0.00196069
